File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToStr( double v, char* buffer, int bufferSize )",2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToStr(int64_t v, char* buffer, int bufferSize)",3,2,2,0,0,0,1,10,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToInt( const char* str, int* value )",5,5,4,3,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToUnsigned( const char* str, unsigned *value )",5,5,4,3,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToBool( const char* str, bool* value )",15,15,12,6,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToFloat( const char* str, float* value )",5,5,4,3,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToDouble( const char* str, double* value )",5,5,4,3,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToInt64(const char* str, int64_t* value)",7,7,6,3,0,1,0,10,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLDocument::Identify( char* p, XMLNode** node )",66,61,59,4,4,5,1,35,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,XMLDocument::Accept( XMLVisitor* visitor ) const,10,10,7,5,0,0,0,0,
